Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\22666.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco593_4
Sample Number	75
Sample Position	RC3
Sample ID	22666
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:48:23 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	9e7c585c-4bf2-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-6.10154
Signal Max.	361.246830
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0.515167	0.10	-0.095930	
0.516833	0.10	-0.089730	
0.518500	0.10	-0.082570	
0.520167	0.10	-0.076260	
0.521833	0.10	-0.072090	
0.523500	0.10	-0.070160	
0.525167	0.10	-0.069270	
0.526833	0.10	-0.068020	
0.528500	0.10	-0.066350	
0.530167	0.10	-0.065350	
0.531833	0.10	-0.065960	
0.533500	0.10	-0.068630	
0.535167	0.10	-0.073380	
0.536833	0.10	-0.079540	
0.538500	0.10	-0.086060	
0.540167	0.10	-0.091690	
0.541833	0.10	-0.094640	
0.543500	0.10	-0.093210	
0.545167	0.10	-0.087890	
0.546833	0.10	-0.081460	
0.548500	0.10	-0.076630	
0.550167	0.10	-0.074380	
0.551833	0.10	-0.074720	
0.553500	0.10	-0.077860	
0.555167	0.10	-0.083840	
0.556833	0.10	-0.091090	
0.558500	0.10	-0.096670	
0.560167	0.10	-0.098840	
0.561833	0.10	-0.098670	
0.563500	0.10	-0.098150	
0.565167	0.10	-0.097740	
0.566833	0.10	-0.096770	
0.568500	0.10	-0.095180	
0.570167	0.10	-0.093250	
0.571833	0.10	-0.090770	
0.573500	0.10	-0.087680	
0.575167	0.10	-0.084860	
0.576833	0.10	-0.083670	
0.578500	0.10	-0.085090	
0.580167	0.10	-0.089120	
0.581833	0.10	-0.094750	
0.583500	0.10	-0.100720	
0.585167	0.10	-0.106310	
0.586833	0.10	-0.111650	
0.588500	0.10	-0.117080	
0.590167	0.10	-0.122050	
0.591833	0.10	-0.125220	
0.593500	0.10	-0.126060	
0.595167	0.10	-0.125850	
0.596833	0.10	-0.126160	
0.598500	0.10	-0.127520	
0.600167	0.10	-0.129300	
0.601833	0.10	-0.130800	
0.603500	0.10	-0.132200	
0.605167	0.10	-0.133960	
0.606833	0.10	-0.135330	
0.608500	0.10	-0.135000	
0.610167	0.10	-0.132990	
0.611833	0.10	-0.130580	
0.613500	0.10	-0.129150	
0.615167	0.10	-0.129680	
0.616833	0.10	-0.132890	
0.618500	0.10	-0.139090	
0.620167	0.10	-0.147510	
0.621833	0.10	-0.156020	
0.623500	0.10	-0.162410	
0.625167	0.10	-0.166010	
0.626833	0.10	-0.167550	
0.628500	0.10	-0.168370	
0.630167	0.10	-0.170020	
0.631833	0.10	-0.173220	
0.633500	0.10	-0.176960	
0.635167	0.10	-0.179340	
0.636833	0.10	-0.179910	
0.638500	0.10	-0.180610	
0.640167	0.10	-0.183750	
0.641833	0.10	-0.189570	
0.643500	0.10	-0.196310	
0.645167	0.10	-0.202080	
0.646833	0.10	-0.206180	
0.648500	0.10	-0.208800	
0.650167	0.10	-0.211040	
0.651833	0.10	-0.214780	
0.653500	0.10	-0.220590	
0.655167	0.10	-0.226690	
0.656833	0.10	-0.231100	
0.658500	0.10	-0.234000	
0.660167	0.10	-0.237170	
0.661833	0.10	-0.242000	
0.663500	0.10	-0.248350	
0.665167	0.10	-0.255390	
0.666833	0.10	-0.262990	
0.668500	0.10	-0.271700	
0.670167	0.10	-0.281340	
0.671833	0.10	-0.290290	
0.673500	0.10	-0.296720	
0.675167	0.10	-0.300360	
0.676833	0.10	-0.302990	
0.678500	0.10	-0.306910	
0.680167	0.10	-0.313520	
0.681833	0.10	-0.322960	
0.683500	0.10	-0.334230	
0.685167	0.10	-0.345770	
0.686833	0.10	-0.356350	
0.688500	0.10	-0.365590	
0.690167	0.10	-0.373500	
0.691833	0.10	-0.379930	
0.693500	0.10	-0.385110	
0.695167	0.10	-0.390230	
0.696833	0.10	-0.396320	
0.698500	0.10	-0.403460	
0.700167	0.10	-0.411920	
0.701833	0.10	-0.422670	
0.703500	0.10	-0.436250	
0.705167	0.10	-0.451590	
0.706833	0.10	-0.466720	
0.708500	0.10	-0.480310	
0.710167	0.10	-0.492300	
0.711833	0.10	-0.503110	
0.713500	0.10	-0.513040	
0.715167	0.10	-0.522770	
0.716833	0.10	-0.533400	
0.718500	0.10	-0.545480	
0.720167	0.10	-0.558500	
0.721833	0.10	-0.571320	
0.723500	0.10	-0.582850	
0.725167	0.10	-0.592920	
0.726833	0.10	-0.602610	
0.728500	0.10	-0.613140	
0.730167	0.10	-0.624700	
0.731833	0.10	-0.636980	
0.733500	0.10	-0.650560	
0.735167	0.10	-0.666480	
0.736833	0.10	-0.685060	
0.738500	0.10	-0.705460	
0.740167	0.10	-0.726270	
0.741833	0.10	-0.746190	
0.743500	0.10	-0.764610	
0.745167	0.10	-0.781200	
0.746833	0.10	-0.795390	
0.748500	0.10	-0.806870	
0.750167	0.10	-0.816330	
0.751833	0.10	-0.825470	
0.753500	0.10	-0.836480	
0.755167	0.10	-0.850500	
0.756833	0.10	-0.867000	
0.758500	0.10	-0.885110	
0.760167	0.10	-0.904940	
0.761833	0.10	-0.927120	
0.763500	0.10	-0.951830	
0.765167	0.10	-0.978570	
0.766833	0.10	-1.006180	
0.768500	0.10	-1.033200	
0.770167	0.10	-1.058440	
0.771833	0.10	-1.081110	
0.773500	0.10	-1.100650	
0.775167	0.10	-1.117050	
0.776833	0.10	-1.130840	
0.778500	0.10	-1.142620	
0.780167	0.10	-1.153550	
0.781833	0.10	-1.165890	
0.783500	0.10	-1.182020	
0.785167	0.10	-1.203050	
0.786833	0.10	-1.228290	
0.788500	0.10	-1.255710	
0.790167	0.10	-1.283320	
0.791833	0.10	-1.310040	
0.793500	0.10	-1.334810	
0.795167	0.10	-1.355960	
0.796833	0.10	-1.372460	
0.798500	0.10	-1.385570	
0.800167	0.10	-1.398740	
0.801833	0.10	-1.415410	
0.803500	0.10	-1.436780	
0.805167	0.10	-1.461700	
0.806833	0.10	-1.488290	
0.808500	0.10	-1.514910	
0.810167	0.10	-1.540430	
0.811833	0.10	-1.564400	
0.813500	0.10	-1.587390	
0.815167	0.10	-1.610430	
0.816833	0.10	-1.633740	
0.818500	0.10	-1.656370	
0.820167	0.10	-1.677690	
0.821833	0.10	-1.698480	
0.823500	0.10	-1.720130	
0.825167	0.10	-1.743350	
0.826833	0.10	-1.768070	
0.828500	0.10	-1.794120	
0.830167	0.10	-1.821310	
0.831833	0.10	-1.848500	
0.833500	0.10	-1.873780	
0.835167	0.10	-1.895480	
0.836833	0.10	-1.913490	
0.838500	0.10	-1.929770	
0.840167	0.10	-1.946760	
0.841833	0.10	-1.965230	
0.843500	0.10	-1.984630	
0.845167	0.10	-2.004870	
0.846833	0.10	-2.026540	
0.848500	0.10	-2.049840	
0.850167	0.10	-2.073970	
0.851833	0.10	-2.097960	
0.853500	0.10	-2.121390	
0.855167	0.10	-2.143990	
0.856833	0.10	-2.165410	
0.858500	0.10	-2.185910	
0.860167	0.10	-2.206150	
0.861833	0.10	-2.226730	
0.863500	0.10	-2.248520	
0.865167	0.10	-2.272410	
0.866833	0.10	-2.297700	
0.868500	0.10	-2.322550	
0.870167	0.10	-2.346130	
0.871833	0.10	-2.368920	
0.873500	0.10	-2.391290	
0.875167	0.10	-2.413070	
0.876833	0.10	-2.433830	
0.878500	0.10	-2.453210	
0.880167	0.10	-2.471370	
0.881833	0.10	-2.489040	
0.883500	0.10	-2.506750	
0.885167	0.10	-2.524360	
0.886833	0.10	-2.541260	
0.888500	0.10	-2.557070	
0.890167	0.10	-2.572550	
0.891833	0.10	-2.589740	
0.893500	0.10	-2.610410	
0.895167	0.10	-2.634330	
0.896833	0.10	-2.658550	
0.898500	0.10	-2.679110	
0.900167	0.10	-2.694450	
