Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\31333.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	rxn594_4
Sample Number	73
Sample Position	RC1
Sample ID	31333
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:38:28 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	690
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	943.144104
Base Intensity (counts):	45712
TIC (counts):	201416
Retention Time (min):	1.99 [corrected by 0.05]
Scan:	117
Bkg1 RT (min):	1.87 [corrected by 0.05]
Bkg1 Scan:	110
Bkg2 RT (min):	2.22 [corrected by 0.05]
Bkg2 Scan:	130




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
1476.468384	18	0.04
1477.780884	18	0.04
1484.374634	10	0.02
1493.405884	2	0.00
1495.004272	18	0.04
1496.696899	19	0.04
1498.084229	42	0.09
1499.046509	2	0.00
1501.788696	35	0.08
1503.483643	56	0.12
1511.452759	18	0.04
1513.609009	18	0.04
1515.218384	10	0.02
1516.646851	53	0.12
1517.523438	19	0.04
1518.027100	34	0.07
1519.315186	11	0.02
1519.723145	2	0.00
1520.592651	19	0.04
1521.285645	18	0.04
1522.820313	21	0.05
1523.641235	9	0.02
1525.136719	36	0.08
1526.495483	18	0.04
1526.786255	18	0.04
1528.249634	18	0.04
1529.718384	2	0.00
1531.941895	18	0.04
1534.296509	18	0.04
1559.734009	18	0.04
1569.937134	10	0.02
1582.498779	28	0.06
1585.371704	19	0.04
1585.973145	18	0.04
1586.922485	9	0.02
1589.093384	18	0.04
1591.544312	11	0.02
1592.214600	18	0.04
1593.042847	18	0.04
1593.307373	33	0.07
1595.499634	2	0.00
1597.083008	10	0.02
1600.363770	18	0.04
1601.734009	18	0.04
1622.789185	9	0.02
1633.218384	18	0.04
1664.265259	18	0.04
1666.749634	18	0.04
1669.374634	2	0.00
1676.563110	9	0.02
1677.656860	9	0.02
1682.546509	18	0.04
1684.249634	10	0.02
1685.109009	18	0.04
1695.484009	18	0.04
1700.593384	18	0.04
1701.562134	18	0.04
1702.718384	2	0.00
1705.828735	9	0.02
1711.671509	10	0.02
1725.734009	18	0.04
1728.030884	2	0.00
1729.187134	18	0.04
1732.687134	18	0.04
1740.515259	18	0.04
1741.640259	18	0.04
1747.103882	19	0.04
1747.645020	2	0.00
1766.419434	19	0.04
1767.054199	18	0.04
1767.457520	18	0.04
1783.120361	18	0.04
1783.395874	8	0.02
1799.469116	18	0.04
1799.863647	9	0.02
1816.312134	18	0.04
1823.546509	18	0.04
1862.530884	18	0.04
1884.804321	501	1.10
1885.711304	1869	4.09
1886.184326	343	0.75
1886.859619	299	0.65
1887.169067	53	0.12
1897.172485	9	0.02
1898.405884	18	0.04
1901.280884	10	0.02
1907.937134	18	0.04
1916.109009	18	0.04
1920.236450	147	0.32
1924.250610	9	0.02
1986.813110	9	0.02
